:START_ID,has,:END_ID,:TYPE
c10001,has,m456,HAS
c10001,has,m457,HAS
c10001,has,m458,HAS
c10001,has,m459,HAS
c10001,has,m460,HAS
c10001,has,m461,HAS
c10001,has,m462,HAS
c10001,has,m463,HAS
c10001,has,m464,HAS
c10001,has,m465,HAS
c10001,has,m466,HAS
c10001,has,m467,HAS
c10001,has,m468,HAS
c10001,has,m469,HAS
c10001,has,m470,HAS
c10001,has,m471,HAS
c10001,has,m472,HAS
c10001,has,m473,HAS
c10001,has,m474,HAS
c10002,has,m475,HAS
c10002,has,m476,HAS
c10002,has,m477,HAS
c10002,has,m478,HAS
c10002,has,m479,HAS
c10002,has,m480,HAS
c10002,has,m481,HAS
c10002,has,m482,HAS
c10002,has,m483,HAS
c10002,has,m484,HAS
c10002,has,m485,HAS
c10002,has,m486,HAS
c10002,has,m487,HAS
c10002,has,m488,HAS
c10002,has,m489,HAS
c10002,has,m490,HAS
c10002,has,m491,HAS
c10002,has,m492,HAS
c10002,has,m493,HAS
c10002,has,m494,HAS
c10002,has,m495,HAS
c10002,has,m496,HAS
c10002,has,m497,HAS
c10002,has,m498,HAS
c10002,has,m499,HAS
c10002,has,m500,HAS
c10002,has,m501,HAS
c10002,has,m502,HAS
c10002,has,m503,HAS
c10002,has,m504,HAS
c10002,has,m505,HAS
c10002,has,m506,HAS
c10002,has,m507,HAS
c10002,has,m508,HAS
c10002,has,m509,HAS
c10002,has,m510,HAS
c10002,has,m511,HAS
c10002,has,m512,HAS
c10002,has,m513,HAS
c10002,has,m514,HAS
c10002,has,m515,HAS
c10002,has,m516,HAS
c10002,has,m517,HAS
c10002,has,m518,HAS
c10002,has,m519,HAS
c10002,has,m520,HAS
c10002,has,m521,HAS
c10002,has,m522,HAS
c10002,has,m523,HAS
c10002,has,m524,HAS
c10002,has,m525,HAS
c10002,has,m526,HAS
c10002,has,m527,HAS
c10002,has,m528,HAS
c10002,has,m529,HAS
c10002,has,m530,HAS
c10002,has,m531,HAS
c10002,has,m532,HAS
c10002,has,m533,HAS
c10002,has,m534,HAS
c10002,has,m535,HAS
c10002,has,m536,HAS
c10002,has,m537,HAS
c10002,has,m538,HAS
c10002,has,m539,HAS
c10002,has,m540,HAS
c10002,has,m541,HAS
c10002,has,m542,HAS
c10002,has,m543,HAS
c10002,has,m544,HAS
c10002,has,m545,HAS
c10002,has,m546,HAS
c10002,has,m547,HAS
c10002,has,m548,HAS
c10002,has,m549,HAS
c10002,has,m550,HAS
c10002,has,m551,HAS
c10002,has,m552,HAS
c10002,has,m553,HAS
c10002,has,m554,HAS
c10002,has,m555,HAS
c10002,has,m556,HAS
c10002,has,m557,HAS
